"Title","Latitude","Longitude","Description","LocalPath"
"1d0000097d_20250812_080000_Delay+4s_1024x768_Cam00_00.jpg",49.3288768,19.3798544,"ID: 1d0000097d | UTC: 2025-08-12 08:00:00","C:/tmp/github/stork-log-photos/1d0000097d_20250812_080000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097d_20250812_100000_Delay+5s_1024x768_Cam00_00.jpg",49.3716128,19.6873472,"ID: 1d0000097d | UTC: 2025-08-12 10:00:00","C:/tmp/github/stork-log-photos/1d0000097d_20250812_100000_Delay+5s_1024x768_Cam00_00.jpg"
"1d0000097d_20250812_160000_Delay+4s_1024x768_Cam00_00.jpg",48.4818688,21.2405136,"ID: 1d0000097d | UTC: 2025-08-12 16:00:00","C:/tmp/github/stork-log-photos/1d0000097d_20250812_160000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097d_20250813_080000_Delay+4s_1024x768_Cam00_00.jpg",48.2263744,21.3927872,"ID: 1d0000097d | UTC: 2025-08-13 08:00:00","C:/tmp/github/stork-log-photos/1d0000097d_20250813_080000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097d_20250813_180000_Delay+4s_1024x768_Cam00_00.jpg",47.5005696,21.5968128,"ID: 1d0000097d | UTC: 2025-08-13 18:00:00","C:/tmp/github/stork-log-photos/1d0000097d_20250813_180000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097d_20250814_060000_Delay+4s_1024x768_Cam00_00.jpg",47.499584,21.5966208,"ID: 1d0000097d | UTC: 2025-08-14 06:00:00","C:/tmp/github/stork-log-photos/1d0000097d_20250814_060000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097d_20250814_080000_Delay+4s_1024x768_Cam00_00.jpg",47.4527552,21.6634288,"ID: 1d0000097d | UTC: 2025-08-14 08:00:00","C:/tmp/github/stork-log-photos/1d0000097d_20250814_080000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097d_20250814_120000_Delay+4s_1024x768_Cam00_00.jpg",46.3636896,22.5493392,"ID: 1d0000097d | UTC: 2025-08-14 12:00:00","C:/tmp/github/stork-log-photos/1d0000097d_20250814_120000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097d_20250814_160000_Delay+4s_1024x768_Cam00_00.jpg",45.8109024,22.9756912,"ID: 1d0000097d | UTC: 2025-08-14 16:00:00","C:/tmp/github/stork-log-photos/1d0000097d_20250814_160000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097d_20250815_080000_Delay+4s_1024x768_Cam00_00.jpg",45.8037568,23.0226656,"ID: 1d0000097d | UTC: 2025-08-15 08:00:00","C:/tmp/github/stork-log-photos/1d0000097d_20250815_080000_Delay+4s_1024x768_Cam00_00.jpg"
